,episode,steps,meanepreward,meanepreturn,meaneplen,#parallel_run
0,0,250,4.6,4.6,50.0,0
1,1,500,1.6,1.6,50.0,0
2,2,750,2.2,2.2,50.0,0
3,3,1000,3.6,3.6,50.0,0
4,4,1250,4.8,4.8,50.0,0
5,5,1500,4.8,4.8,50.0,0
6,6,1750,2.4,2.4,50.0,0
7,7,2000,3.8,3.8,50.0,0
8,8,2250,0.8,0.8,50.0,0
9,9,2500,0.4,0.4,50.0,0
10,10,2750,3.4,3.4,50.0,0
11,11,3000,3.2,3.2,50.0,0
12,12,3250,4.0,4.0,50.0,0
13,13,3500,2.4,2.4,50.0,0
14,14,3750,7.8,7.8,50.0,0
15,15,4000,3.4,3.4,50.0,0
16,16,4250,1.6,1.6,50.0,0
17,17,4500,2.0,2.0,50.0,0
18,18,4750,3.6,3.6,50.0,0
19,19,5000,4.6,4.6,50.0,0
20,20,5250,4.8,4.8,50.0,0
21,21,5500,4.2,4.2,50.0,0
22,22,5750,6.0,6.0,50.0,0
23,23,6000,11.6,11.6,50.0,0
24,24,6250,6.4,6.4,50.0,0
25,25,6500,0.6,0.6,50.0,0
26,26,6750,2.0,2.0,50.0,0
27,27,7000,7.0,7.0,50.0,0
28,28,7250,6.4,6.4,50.0,0
29,29,7500,9.8,9.8,50.0,0
30,30,7750,2.6,2.6,50.0,0
31,31,8000,1.8,1.8,50.0,0
32,32,8250,4.0,4.0,50.0,0
33,33,8500,0.6,0.6,50.0,0
34,34,8750,0.8,0.8,50.0,0
35,35,9000,7.4,7.4,50.0,0
36,36,9250,2.2,2.2,50.0,0
37,37,9500,1.4,1.4,50.0,0
38,38,9750,11.0,11.0,50.0,0
39,39,10000,5.4,5.4,50.0,0
40,40,10250,6.6,6.6,50.0,0
41,41,10500,3.4,3.4,50.0,0
42,42,10750,2.0,2.0,50.0,0
43,43,11000,5.2,5.2,50.0,0
44,44,11250,2.0,2.0,50.0,0
45,45,11500,4.2,4.2,50.0,0
46,46,11750,3.4,3.4,50.0,0
47,47,12000,11.8,11.8,50.0,0
48,48,12250,4.8,4.8,50.0,0
49,49,12500,3.4,3.4,50.0,0
50,50,12750,0.6,0.6,50.0,0
51,51,13000,2.2,2.2,50.0,0
52,52,13250,1.4,1.4,50.0,0
53,53,13500,2.0,2.0,50.0,0
54,54,13750,11.2,11.2,50.0,0
55,55,14000,2.6,2.6,50.0,0
56,56,14250,2.2,2.2,50.0,0
57,57,14500,0.6,0.6,50.0,0
58,58,14750,1.0,1.0,50.0,0
59,59,15000,3.2,3.2,50.0,0
60,60,15250,0.8,0.8,50.0,0
61,61,15500,1.0,1.0,50.0,0
62,62,15750,0.0,0.0,50.0,0
63,63,16000,2.6,2.6,50.0,0
64,64,16250,6.0,6.0,50.0,0
65,65,16500,3.8,3.8,50.0,0
66,66,16750,5.0,5.0,50.0,0
67,67,17000,4.8,4.8,50.0,0
68,68,17250,7.6,7.6,50.0,0
69,69,17500,4.6,4.6,50.0,0
70,70,17750,1.2,1.2,50.0,0
71,71,18000,1.0,1.0,50.0,0
72,72,18250,2.2,2.2,50.0,0
73,73,18500,1.0,1.0,50.0,0
74,74,18750,3.6,3.6,50.0,0
75,75,19000,1.6,1.6,50.0,0
76,76,19250,1.8,1.8,50.0,0
77,77,19500,4.0,4.0,50.0,0
78,78,19750,1.4,1.4,50.0,0
79,79,20000,1.2,1.2,50.0,0
80,80,20250,2.0,2.0,50.0,0
81,81,20500,2.8,2.8,50.0,0
82,82,20750,1.6,1.6,50.0,0
83,83,21000,0.8,0.8,50.0,0
84,84,21250,1.4,1.4,50.0,0
85,85,21500,2.6,2.6,50.0,0
86,86,21750,1.0,1.0,50.0,0
87,87,22000,1.2,1.2,50.0,0
